timestamp,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,ozone
1510048800,Clear,clear-day,0.0007,0.07,rain,41.58,41.58,36.73,0.83,1022.74,1.86,351,0.08,7.04,
1510052400,Partly Cloudy,partly-cloudy-day,0,0,44.83,44.83,37.48,0.75,1021.86,2.16,3,0.44,8.38,
1510056000,Partly Cloudy,partly-cloudy-day,0,0,46.52,46.52,37.45,0.7,1021.01,2.71,359,0.44,8.88,
1510059600,Mostly Cloudy,partly-cloudy-day,0,0,46.97,45.22,36.26,0.66,1020.15,4.19,359,0.82,6.85,
1510063200,Mostly Cloudy,partly-cloudy-day,0,0,47.58,47.58,36.09,0.64,1019.71,2.7,7,0.74,8.87,
1510066800,Mostly Cloudy,partly-cloudy-day,0,0,46.3,46.3,36.2,0.68,1019.29,2.39,12,0.68,9.36,
1510070400,Partly Cloudy,partly-cloudy-day,0,0,42.53,42.53,35.92,0.77,1019.22,1.51,16,0.53,9.36,
1510074000,Partly Cloudy,partly-cloudy-night,0,0,39.52,39.52,34.91,0.83,1019.35,1.22,348,0.55,9.02,
1510077600,Mostly Cloudy,partly-cloudy-night,0,0,38.46,38.46,35.39,0.89,1019.31,0.85,308,0.78,8.94,
1510081200,Mostly Cloudy,partly-cloudy-night,0,0,38.5,38.5,35.29,0.88,1019.02,0.21,146,0.89,8.45,
1510084800,Mostly Cloudy,partly-cloudy-night,0,0,38.41,38.41,35.44,0.89,1018.74,0.14,310,0.87,8.27,
1510088400,Mostly Cloudy,partly-cloudy-night,0,0,38.84,38.84,34.99,0.86,1018.55,1.64,274,0.83,8.63,
1510092000,Mostly Cloudy,partly-cloudy-night,0,0,38.43,38.43,35.15,0.88,1018.29,1.97,286,0.83,7.04,
1510095600,Mostly Cloudy,partly-cloudy-night,0,0,37.99,37.99,34.66,0.88,1018.08,1.28,256,0.82,6.83,
1510099200,Mostly Cloudy,partly-cloudy-night,0,0,37.91,37.91,34.72,0.88,1017.9,0.75,293,0.8,7.94,
1510102800,Mostly Cloudy,partly-cloudy-night,0.0012,0.06,rain,37.52,37.52,34.7,0.89,1017.82,0.51,216,0.82,7.86,
1510106400,Mostly Cloudy,partly-cloudy-night,0,0,37.89,37.89,34.73,0.88,1017.68,0.79,261,0.81,7.51,
1510110000,Partly Cloudy,partly-cloudy-night,0,0,37.73,37.73,35.05,0.9,1017.46,0.32,185,0.41,6.04,
1510113600,Mostly Cloudy,partly-cloudy-night,0.0019,0.14,rain,37.59,37.59,35.43,0.92,1017.53,0.61,226,0.83,7.07,
1510117200,Mostly Cloudy,partly-cloudy-night,0.0028,0.1,rain,37.71,37.71,35.52,0.92,1017.74,0.73,167,0.92,6.79,
1510120800,Mostly Cloudy,partly-cloudy-night,0,0,37.72,37.72,35.87,0.93,1018.1,0.65,175,0.77,5.99,
1510124400,Mostly Cloudy,partly-cloudy-day,0.0037,0.1,rain,38.19,38.19,35.91,0.91,1018.65,0.73,148,0.88,4.99,
1510128000,Mostly Cloudy,partly-cloudy-day,0.0031,0.18,rain,39.04,39.04,36.45,0.9,1019.15,1.14,272,0.77,4.94,
1510131600,Mostly Cloudy,partly-cloudy-day,0.0014,0.05,rain,40.41,40.41,36.92,0.87,1019.62,1.15,314,0.92,5.87,
1510135200,Overcast,cloudy,0.003,0.3,rain,42.16,42.16,37.22,0.82,1019.94,1.49,323,0.97,6.5,
1510138800,Overcast,cloudy,0.0018,0.18,rain,43.02,43.02,36.59,0.78,1020.06,2.65,326,0.97,6.59,
1510142400,Overcast,cloudy,0,0,43.98,43.98,36.86,0.76,1020.03,2.71,346,0.95,6.97,
1510146000,Mostly Cloudy,partly-cloudy-day,0.0014,0.05,rain,43.93,42.36,37.74,0.79,1020.08,3.44,335,0.92,7.28,
1510149600,Overcast,cloudy,0.0045,0.41,rain,43.64,41.35,37.92,0.8,1020.23,4.21,332,0.97,7.01,
1510153200,Overcast,cloudy,0.0009,0.05,rain,43.12,40.83,38.07,0.82,1020.74,4.11,334,0.96,6.91,
1510156800,Mostly Cloudy,partly-cloudy-day,0.0005,0.05,rain,41.9,39.5,38.24,0.87,1021.22,4.01,340,0.91,6.45,
1510160400,Mostly Cloudy,partly-cloudy-night,0.0005,0.05,rain,41.96,39.7,38.35,0.87,1021.76,3.86,332,0.93,5.7,
1510164000,Overcast,cloudy,0,0,41.38,38.08,38.13,0.88,1022.21,5.02,320,1,5.4,
1510167600,Overcast,cloudy,0.0025,0.1,rain,41.36,38.42,38.36,0.89,1022.48,4.56,320,0.97,4.62,
1510171200,Overcast,cloudy,0.0012,0.06,rain,41.05,38.45,38.49,0.9,1022.67,4.1,327,1,4.29,
1510174800,Mostly Cloudy,partly-cloudy-night,0,0,41.06,37.91,38.64,0.91,1022.76,4.74,338,0.93,3.69,
1510178400,Overcast,cloudy,0,0,41.03,39.17,38.82,0.92,1022.93,3.33,333,1,3.58,
1510182000,Overcast,cloudy,0.0006,0.06,rain,40.82,40.82,38.57,0.92,1023.1,2.44,338,1,3.51,
1510185600,Mostly Cloudy,partly-cloudy-night,0,0,40.66,40.66,38.44,0.92,1023.06,2.57,307,0.87,3.29,
1510189200,Mostly Cloudy,partly-cloudy-night,0,0,40.78,38.54,38.69,0.92,1023.19,3.66,317,0.89,3.1,
1510192800,Overcast,cloudy,0,0,40.58,38.68,38.76,0.93,1023.57,3.3,319,0.98,3.04,
1510196400,Mostly Cloudy,partly-cloudy-night,0,0,40.56,38.92,38.62,0.93,1023.81,3.07,323,0.88,2.86,
1510200000,Mostly Cloudy,partly-cloudy-night,0,0,40.71,40.71,38.84,0.93,1023.89,2.19,325,0.87,2.76,
1510203600,Mostly Cloudy,partly-cloudy-night,0,0,40.9,40.9,39,0.93,1024.06,0.68,321,0.88,2.73,
